timestamp,operation
2024-09-13 06:35:46,Wake Up compute2
2024-09-13 06:42:57,Uncordon compute2
2024-09-13 06:44:42,Wake Up compute5
2024-09-13 06:51:53,Uncordon compute5
2024-09-13 06:51:58,Wake Up compute6
2024-09-13 06:59:10,Uncordon compute6
2024-09-13 06:59:15,Wake Up compute7
2024-09-13 07:06:27,Uncordon compute7
2024-09-13 08:15:07,Drain compute7
2024-09-13 08:17:19,Shutdown compute7
2024-09-13 08:21:12,Drain compute6
2024-09-13 08:23:23,Shutdown compute6
2024-09-13 08:30:34,Drain compute5
2024-09-13 08:32:46,Shutdown compute5
2024-09-13 08:35:34,Drain compute2
2024-09-13 08:37:46,Shutdown compute2
